id,source,grade,semester,unit,difficulty,problem,answer,hint1,hint2,hint3,next_question
p_0001,orca,4,1,큰 수,쉬움,"모든 숫자 카드 1, 6, 8을 한 번씩 사용하여 세 번째로 큰 세 자리 숫자를 찾으세요.",681,세 자리 수를 모두 나열해 보세요.,가장 큰 수부터 순서대로 배열해 보세요.,8로 시작하는 수 중 두 번째로 큰 수를 찾아보세요.,"숫자 카드 2, 3, 9를 사용하여 두 번째로 작은 세 자리 수를 찾으세요."
p_0002,orca,4,1,큰 수,쉬움,"숫자 카드 3, 4, 7을 사용하여 세 자리 숫자를 만듭니다. 여기서 7이 앞에 있는 숫자 중에서 가장 큰 값을 찾으세요. (단, 숫자 카드를 반복해서 사용할 수는 없습니다.)",743,7을 첫 자리에 두고 남은 숫자 3과 4로 두 자리 수를 만들 때 가장 큰 수를 생각해 보세요.,두 번째 자리에는 남은 숫자 중 더 큰 수를 배치해야 합니다.,세 번째 자리에는 남은 가장 작은 수를 배치하면 됩니다.,"숫자 카드 2, 5, 9를 사용하여 7이 앞에 있는 경우와 같은 조건으로 가장 큰 세 자리 수를 만들어 보세요."
p_0003,orca,4,1,큰 수,쉬움,굴비 156두름이 있습니다. 총 몇 마리의 굴비가 있나요? (두름은 물고기 20마리에 해당합니다.),3120마리,두름과 마리 수의 관계를 먼저 정리해 보세요.,곱셈 문제를 풀 때 자릿수를 맞추어 계산해 보세요.,"100두름은 2,000마리, 50두름은 1,000마리, 6두름은 120마리임을 이용해 합산해 보세요.","굴비 250두름 중 128두름을 판매했다면, 남은 굴비는 몇 마리인가요?"
p_0004,orca,4,1,큰 수,쉬움,"미녕은 13개, 은지는 21개입니다. 누가 더 많은 빵을 가지고 있나요?",은지,두 숫자를 비교해 보세요.,21과 13 중 더 큰 수는 무엇인가요?,21은 13보다 8개 더 많습니다.,"민준이는 45개, 지훈이는 38개의 공을 가지고 있습니다. 누가 더 많은 공을 가지고 있나요?"
p_0005,orca,4,1,큰 수,쉬움,"75, 91, 83, 72 중에서 가장 큰 수와 두 번째로 작은 수의 합을 구합니다.",166,숫자를 크기 순서대로 나열해 보세요,"가장 작은 수와 가장 큰 수를 먼저 찾은 후, 두 번째로 작은 수를 찾아보세요",91과 75를 더하면 답이 됩니다,"12,456 / 389,001 / 7,205 / 1,003 중에서 가장 큰 수와 두 번째로 작은 수의 차는 얼마인가요?"
p_0006,orca,4,1,큰 수,쉬움,"나무는 원형 산책로를 따라 30미터(m) 간격으로 심어져 있습니다. 산책로의 길이가 1킬로미터(km)와 200미터(m)인 경우, 총 몇 그루의 나무가 심어졌나요?",40그루,킬로미터를 미터로 변환해 보세요.,총 길이를 나무 간격으로 나누어 보세요.,원형 경로에서 나무 심는 규칙을 생각해 보세요.,"직사각형 운동장의 둘레가 1200m이고, 30m 간격으로 나무를 심을 때 필요한 나무 수는 몇 그루인가요?"
p_0007,orca,4,1,큰 수,쉬움,"숫자 35, 68, 57, 95가 있습니다. 두 번째로 큰 숫자와 가장 작은 숫자의 차이는 무엇인가요?",33,숫자들을 크기 순서대로 나열해 보세요,가장 작은 수와 두 번째로 큰 수를 찾아 표시해 보세요,두 수의 차이를 계산해 보세요,"숫자 124, 89, 156, 203, 78이 있습니다. 세 번째로 큰 수와 가장 작은 수의 차이는 얼마인가요?"
p_0008,orca,4,1,큰 수,쉬움,"49, 31, 76, 62가 있습니다. 가장 큰 수에서 가장 작은 수를 뺀 값을 구합니다.",45,먼저 숫자들을 크기 순서대로 나열해 보세요.,가장 큰 수와 가장 작은 수를 각각 동그라미 쳐 보세요.,76에서 31을 어떻게 뺄지 생각해 보세요.,"다음 수들 125, 89, 203, 157에서 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마인가요?"
p_0009,orca,4,1,큰 수,쉬움,"어머니는 쌀을 씻을 때 5리터(L)의 물을 사용했고, 아버지는 4900밀리리터(ml)의 물을 사용했다고 합니다. 누가 더 많은 물을 사용했을까요?",어머니,두 사람의 물 사용량을 같은 단위로 바꿔 보세요.,1리터는 몇 밀리리터인지 생각해 보세요.,변환 후 숫자를 비교해 보세요.,"학교 운동장에 3200m²의 잔디를 깔려고 합니다. 1헥타르(ha)는 10000m²일 때, 운동장의 넓이는 몇 헥타르인가요?"
p_0010,orca,4,1,큰 수,쉬움,"숫자 1, 2, 7을 한 번만 사용하여 만들 수 있는 세 자리 숫자는 몇 개입니까?",6,세 자리 숫자를 만들 때 각 자리에 어떤 숫자를 배치할 수 있는지 생각해 보세요.,"첫 번째 자리 선택 후 남은 숫자로 두 번째 자리를 정하고, 마지막으로 남은 숫자를 일의 자리에 배치해 보세요.",순열 개념을 적용해 보세요. 3개의 서로 다른 숫자를 일렬로 배열하는 방법의 수를 계산하면 됩니다.,"숫자 1, 2, 3, 4를 한 번씩만 사용하여 만들 수 있는 네 자리 숫자는 모두 몇 개입니까?"
