id,grade,semester,unit,difficulty,problem,answer,hint1,hint2,hint3,next_question
gen_0001,4,1,기타,쉬움,정국이 5위입니다. 정국보다 결승선을 먼저 통과한 사람의 수를 찾아보세요.,4명,순위는 몇 번째인지 나타내는 숫자예요,"1등은 앞에 아무도 없고, 2등은 앞에 1명이 있어요",5등일 때 앞에 몇 명이 있는지 세어볼까요?,만약 정국이 7위였다면 앞에 몇 명이 있을까요?
gen_0002,4,1,자연수의 혼합 계산,쉬움,숫자를 10으로 나눈 값은 6입니다. 윤기는 이 숫자에서 15를 빼서 결과를 얻었습니다. 윤기가 얻은 결과는 무엇일까요?,45,먼저 10으로 나눈 값이 6인 숫자를 찾아보세요,10배수를 이용해 원래 숫자를 계산한 후 15를 빼보세요,6 × 10을 계산한 뒤 그 값에서 15를 어떻게 빼야 할지 생각해보세요,"원래 숫자가 60일 때, 여기서 15를 빼면 어떤 계산이 필요할까요?"
gen_0003,5,1,자연수의 혼합 계산,중간,"동주는 숫자 1, 6, 8이 적힌 종이에서 각각 하나씩 골라 세 자리 숫자를 만듭니다. 만들 수 있는 모든 세 자리 숫자 중 두 번째로 작은 숫자와 세 번째로 작은 숫자의 합을 구하시오. (단, 같은 숫자는 중복 사용할 수 없습니다.)",804,세 숫자를 백의 자리부터 차례로 배치해 가능한 모든 조합을 생각해 보세요.,가장 작은 숫자는 백의 자리가 1인 경우 중 가장 작은 수입니다. 나머지 경우도 같은 방식으로 찾아보세요.,"168, 186, 618, 681, 816, 861 중 두 번째와 세 번째 수를 더하면 됩니다.",두 번째로 작은 숫자와 세 번째로 작은 숫자를 더한 값은 얼마일까요?
gen_0004,4,1,자연수의 혼합 계산,중간,어떤 숫자에서 46을 빼고 싶었지만 실수로 59를 빼서 43을 얻었습니다. 올바른 계산으로 얼마를 얻어야 할까요?,56,실수로 뺀 수를 결과에 다시 더해 보세요,원래 숫자를 찾은 후 올바른 계산을 수행해야 합니다,43 + 59로 원래 숫자를 구한 뒤 46을 빼 보세요,원래 숫자를 찾은 후 어떤 계산을 해야 올바른 결과를 얻을 수 있을까요?
gen_0005,4,1,곱셈과 나눗셈,쉬움,진서의 한 스팬의 길이는 약 12센티미터(cm)입니다. 진서가 책장의 짧은 쪽의 길이를 재었을 때 두 스팬 정도였습니다. 책장의 짧은 쪽의 길이는 몇 센티미터(cm)입니까?,24cm,스팬의 길이와 개수를 어떻게 연결해야 할까요?,한 스팬이 12cm라면 두 스팬은 몇 cm일까요?,곱셈식을 세워보세요. (스팬 개수) × (한 스팬 길이),만약 책장의 긴 쪽이 3스팬이라면 길이는 몇 cm일까요?
gen_0006,4,2,자연수의 혼합 계산,쉬움,자연수 A를 9로 나눈 몫은 6이고 나머지는 5입니다. A의 값은 얼마일까요?,59,나눗셈에서 원래 수를 찾는 방법을 떠올려 보세요,몫과 제수를 곱한 후 나머지를 더해야 합니다,6에 9를 곱한 값에 5를 더하면 답이 나옵니다,만약 나머지가 5가 아니라 7이었다면 A의 값은 어떻게 달라질까요?
gen_0007,5,1,규칙 찾기,중간,십각형 안에 대각선을 몇 개나 그릴 수 있나요?,35개,대각선은 꼭짓점을 연결하되 변을 제외한 선이에요.,오각형의 대각선 개수는 5개입니다. 같은 방법으로 풀어보세요.,10개 꼭짓점 중 한 점에서 7개의 대각선이 나옵니다. 전체 계산 시 중복을 고려해야 해요.,만약 십이각형이라면 대각선 개수는 어떻게 될까요?
gen_0008,5,1,자연수의 혼합 계산,중간,"숫자 자석 2, 0, 3, 5, 8에서 4개를 선택하여 일렬로 배열하여 4자리 숫자를 만들 수 있는 가장 큰 숫자와 가장 작은 숫자의 차이는 무엇인가요?",6497,가장 큰 수와 가장 작은 수를 만들 때 0의 위치를 고려해야 합니다.,"가장 큰 수는 0을 제외한 가장 큰 숫자부터, 가장 작은 수는 0이 첫 자리가 되지 않도록 주의하며 만듭니다.","가장 큰 수는 8532, 가장 작은 수는 2035입니다. 이 두 수의 차이를 계산하세요.",가장 큰 수와 가장 작은 수를 만들 때 0을 어떻게 배치해야 할까요?
gen_0009,5,1,약수와 배수,중간,80보다 작은 9의 모든 배수의 합을 구하시오.,324,"9의 배수는 9, 18, 27, ...과 같이 9씩 커지는 수입니다.",80을 9로 나누어 몇 개의 배수가 있는지 먼저 확인해 보세요.,등차수열의 합 공식(n/2)*(첫 항 + 마지막 항)을 활용할 수 있습니다.,80보다 작은 9의 배수는 모두 몇 개일까요?
gen_0010,5,1,비와 비율,중간,"수정은 미국에서 여행에서 돌아와 오늘 은행에서 남은 140달러를 한국 돈으로 158,760원으로 환전했습니다. 오늘 한국 원화와 미국 달러의 환율은 얼마인가요?","1,134원/달러",환전 금액을 비교해 보세요.,원화를 달러로 나누면 환율을 구할 수 있습니다.,"158,760을 140으로 나누어 계산해 보세요.",만약 280달러를 환전한다면 한국 돈으로 얼마를 받을 수 있을까요?
